2022-01-01 02:33:16.237 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:33:16.269 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:33:16.269 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 585 ms
2022-01-01 02:33:16.770 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:33:16.779 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:33:16.841 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 1.399 seconds (JVM running for 1.699)
2022-01-01 02:33:21.546 [http-nio-10086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-01 02:33:21.547 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-01 02:33:21.548 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-01-01 02:33:24.746 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Starting...
2022-01-01 02:33:25.226 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Start completed.
2022-01-01 02:35:38.378 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown initiated...
2022-01-01 02:35:38.381 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown completed.
2022-01-01 02:35:39.716 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Starting SmartCampusApplication using Java 1.8.0_282 on gongxiwus-Macbook-Pro.local with PID 73129 (/usr/local/Code/smart-campus/target/classes started by gongxiwu in /usr/local/Code/smart-campus)
2022-01-01 02:35:39.718 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - No active profile set, falling back to default profiles: default
2022-01-01 02:35:40.063 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-01-01 02:35:40.064 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:35:40.073 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2022-01-01 02:35:40.294 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2022-01-01 02:35:40.298 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2022-01-01 02:35:40.298 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-01 02:35:40.298 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:35:40.330 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:35:40.330 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 594 ms
2022-01-01 02:35:40.829 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:35:40.838 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:35:40.908 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 1.416 seconds (JVM running for 1.691)
2022-01-01 02:35:58.777 [http-nio-10086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-01 02:35:58.778 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-01 02:35:58.779 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-01-01 02:36:01.705 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Starting...
2022-01-01 02:36:02.200 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Start completed.
2022-01-01 02:36:17.347 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown initiated...
2022-01-01 02:36:17.352 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown completed.
2022-01-01 02:36:18.639 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Starting SmartCampusApplication using Java 1.8.0_282 on gongxiwus-Macbook-Pro.local with PID 73139 (/usr/local/Code/smart-campus/target/classes started by gongxiwu in /usr/local/Code/smart-campus)
2022-01-01 02:36:18.640 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - No active profile set, falling back to default profiles: default
2022-01-01 02:36:18.977 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
